METHODS;MEAN;SE
GloVe;0.0375;0.0483
HD-GloVe;0.0008;0.0045
GN-GloVe;0.0555;0.0566
GP-GloVe;0.0366;0.0454
GPGN-GloVe;0.0456;0.0587
HSR-GloVe;0.0217;0.0272
DHD-GloVe;0.0196;0.0246
RAN-GloVe;0.0291;0.0388
RAN-HSR-GloVe;0.0276;0.0361

